actor,date,director,id,language,rate,rating_num,region,runtime,title,type,year,is_cn,is_hk,is_tw,is_drama,is_comedy,is_action,is_romance,is_scifi,is_cartoon,is_mystery,is_thriller,is_horror,is_crime,is_homosexua,is_music,is_musical,is_biographical,is_historical,is_war,is_western,is_fantasy,is_adventure,is_disaster,is_sowordsmen,is_erotic,is_best,is_worst
"邓超, 段奕宏, 郭涛, 王珞丹, 吕颂贤, 高虎, 白柳汐, 杜志国","2015-08-27(中国大陆), 2015-06-15(上海电影节)",曹保平,24719063,汉语普通话,7.9,290209.0,中国大陆,139.0,烈日灼心,"剧情, 悬疑, 犯罪",2015,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"李易峰, 迈克尔·道格拉斯, 周冬雨, 曹炳琨, 王戈, 苏可",2018-06-29(中国大陆),韩延,26925317,"汉语普通话 ,  英语",7.3,209406.0,中国大陆,132.0,动物世界,"剧情, 动作, 冒险",2018,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"尊龙, 陈冲, 邬君梅, 彼得·奥图尔, 英若诚, 吴涛, 黄自强, 丹尼斯·邓恩, 坂本龙一, 马吉·汉, 里克·扬, 田川洋行, 苟杰德, 理查德·吴, 皱缇格, 陈凯歌, 卢燕, 亨利·欧, 陈述, 樊光耀, 鲍皓昕, 黄文捷, 邵茹贞, 亨利·基, 张良斌, 梁冬, 康斯坦丁·格雷戈里, 黄汉琪, 王涛, 宋怀桂, 蔡鸿翔, 程淑艳, 张天民","1987-10-04(东京国际电影节), 1987-10-23(意大利)",贝纳尔多·贝托鲁奇,1293172,"英语 ,  汉语普通话 ,  日语 ,  俄语",9.0,222843.0,"英国, 意大利, 中国大陆, 法国, 美国",163.0,末代皇帝 The Last Emperor,"剧情, 传记, 历史",1987,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"周迅, 李冰冰, 张涵予, 王志文, 黄晓明, 苏有朋, 英达, 石兆琪, 倪大红, 段奕宏, 朱旭, 刘威葳, 张一白, 吴刚, 邓家佳, 刘芸, 爱戴",2009-09-29(中国大陆),"陈国富, 高群书",3734112,"汉语普通话 ,  日语",8.1,304278.0,中国大陆,118.0,风声,"剧情, 惊悚, 战争, 犯罪",2009,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"邓超, 彭于晏, 赵丽颖, 董子健, 金士杰, 易小星, 张本煜, 李荣浩, 高华阳, 李淳, 孙伊涵, 熊黎, 李春嫒, 潘米, 小马达, 金毛期期, 孙启恒, 孙强, 彭菲茗, 贾川西, 张国庆, 程诚, 白珞力, 方励, 郭佳杰, 冷海铭",2017-01-28(中国大陆),韩寒,26862259,汉语普通话,6.8,353277.0,中国大陆,102.0,乘风破浪,"剧情, 喜剧",2017,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"白百何, 吴彦祖, 李媛, 刘芮麟, 程伊, 刘莉莉, 李建义, 张子萱, 沈腾",2015-08-13(中国大陆),韩延,26289144,"汉语普通话 ,  英语 ,  韩语",7.4,236564.0,中国大陆,128.0,滚蛋吧！肿瘤君,"喜剧, 爱情",2015,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"姜文, 李保田, 瞿颖, 刘信义, 葛优, 李雪健, 尤勇, 张艺谋, 赵本山, 焦刚, 梁冠华, 李琦, 方青卓, 杜旭东, 傅彪, 陈晓花, 李强, 常戎, 张伟平","1997-05-16(中国大陆), 1997-09-02(威尼斯电影节)",张艺谋,1296436,汉语普通话,8.1,97302.0,中国大陆,90.0,有话好好说,"剧情, 喜剧",1997,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"王凯, 张鲁一, 林心如, 叶祖新, 丁冠森, 邓恩熙, 成泰燊, 赵阳, 侯明昊, 焉栩嘉, 任熙青, 李炳易, 李宏, 赵燕国彰",2017-03-31(中国大陆),苏有朋,26606743,汉语普通话,6.4,173548.0,中国大陆,112.0,嫌疑人X的献身,"剧情, 悬疑, 犯罪",2017,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"王千源, 袁姗姗, 刘桦, 周游, 周云鹏, 张锦程, 沈腾",2018-06-22(中国大陆),李昕芸,26992383,汉语普通话,4.9,27010.0,中国大陆,93.0,龙虾刑警,"喜剧, 动作, 犯罪",2018,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"夏雨, 李冰冰, 龚蓓苾, 高旗, 吴超, 高亚麟, 涂松岩, 伍仕贤, 李丽虹, 袁泉, 周润发, 陈羽凡, 葛存壮, 英达, 吴大维",2005-09-08(中国大陆),伍仕贤,1308741,汉语普通话,8.1,153099.0,中国大陆,107.0,独自等待,"剧情, 喜剧, 爱情",2005,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
